origin,destination,weight,distance,carrier,season,weather_score,traffic_score,is_delayed,delay_days
Pune,Delhi,3009,800,BlueDart,Winter,6,5,0,0
Chennai,Kolkata,1203,1660,Delhivery,Autumn,8,5,1,4
Delhi,Bangalore,3120,800,DHL,Winter,6,4,0,0
Hyderabad,Delhi,78,800,DTDC,Monsoon,10,2,1,5
Hyderabad,Jaipur,2438,800,DHL,Monsoon,3,9,1,4
Lucknow,Mumbai,3608,800,FedEx,Summer,5,10,0,0
Chennai,Pune,2382,800,Delhivery,Autumn,9,10,0,0
Hyderabad,Kolkata,4566,800,Delhivery,Monsoon,8,10,1,5
Delhi,Jaipur,853,800,DTDC,Winter,6,10,1,4
Lucknow,Mumbai,583,800,Delhivery,Monsoon,9,3,0,0
Delhi,Pune,4224,800,FedEx,Autumn,2,3,0,0
Lucknow,Kolkata,2606,800,Delhivery,Summer,9,3,0,0
Chennai,Kolkata,4751,1660,BlueDart,Summer,10,8,1,5
Pune,Ahmedabad,1488,800,DHL,Monsoon,10,6,1,5
Ahmedabad,Delhi,2083,800,FedEx,Summer,6,1,1,2
Jaipur,Mumbai,1523,800,FedEx,Autumn,9,3,0,0
Pune,Mumbai,978,800,DHL,Autumn,4,4,1,2
Kolkata,Mumbai,2206,800,DHL,Summer,5,2,0,0
Delhi,Hyderabad,1521,800,FedEx,Winter,2,6,0,0
Kolkata,Pune,664,800,DHL,Summer,3,10,0,0
Pune,Delhi,3002,800,DTDC,Summer,1,1,0,0
Lucknow,Pune,4660,800,DHL,Monsoon,4,1,0,0
Jaipur,Chennai,4530,800,BlueDart,Winter,2,8,0,0
Jaipur,Bangalore,302,800,BlueDart,Summer,2,4,1,2
Mumbai,Jaipur,2611,800,DTDC,Monsoon,1,1,0,0
Jaipur,Delhi,4536,800,DHL,Monsoon,10,7,1,5
Ahmedabad,Bangalore,4422,800,BlueDart,Monsoon,2,9,1,4
Jaipur,Bangalore,4503,800,Delhivery,Autumn,4,10,1,3
Pune,Mumbai,1598,800,DHL,Monsoon,6,7,0,0
Mumbai,Ahmedabad,605,800,DTDC,Monsoon,7,1,0,0
Pune,Delhi,2603,800,DHL,Autumn,7,1,0,0
Pune,Mumbai,2133,800,FedEx,Autumn,7,1,0,0
Bangalore,Delhi,1953,800,FedEx,Monsoon,4,8,0,0
Mumbai,Ahmedabad,925,800,BlueDart,Summer,5,7,0,0
Pune,Chennai,3879,800,FedEx,Winter,3,3,1,2
Bangalore,Ahmedabad,2804,800,DTDC,Autumn,1,3,0,0
Bangalore,Lucknow,3088,800,BlueDart,Winter,8,3,0,0
Mumbai,Jaipur,985,800,DTDC,Autumn,10,2,0,0
Kolkata,Mumbai,1085,800,DTDC,Monsoon,7,4,1,4
Lucknow,Pune,2999,800,FedEx,Autumn,9,7,1,4
Ahmedabad,Lucknow,3477,800,FedEx,Monsoon,10,9,1,5
Lucknow,Hyderabad,1461,800,DTDC,Winter,4,3,1,2
Jaipur,Kolkata,3833,800,FedEx,Summer,5,10,1,3
Ahmedabad,Hyderabad,3942,800,FedEx,Monsoon,5,7,0,0
Jaipur,Hyderabad,2038,800,FedEx,Winter,7,4,0,0
Pune,Lucknow,372,800,DHL,Winter,9,1,0,0
Delhi,Kolkata,2439,1500,DTDC,Autumn,8,5,1,4
Mumbai,Bangalore,3642,800,Delhivery,Monsoon,7,8,1,5
Ahmedabad,Lucknow,2328,800,DTDC,Winter,1,3,1,2
Ahmedabad,Delhi,3095,800,BlueDart,Summer,10,10,1,4
Pune,Lucknow,2355,800,FedEx,Autumn,6,4,0,0
Kolkata,Delhi,3608,1500,FedEx,Autumn,10,3,1,4
Bangalore,Jaipur,4339,800,Delhivery,Winter,9,10,0,0
Pune,Lucknow,1741,800,BlueDart,Monsoon,7,8,1,4
Hyderabad,Lucknow,36,800,DHL,Autumn,1,10,0,0
Bangalore,Lucknow,102,800,DTDC,Monsoon,9,8,1,5
Mumbai,Bangalore,2674,800,DHL,Winter,3,4,0,0
Bangalore,Kolkata,318,1900,BlueDart,Winter,9,2,0,0
Kolkata,Pune,61,800,Delhivery,Monsoon,4,3,0,0
Bangalore,Delhi,328,800,BlueDart,Summer,9,3,0,0
Mumbai,Delhi,2002,800,Delhivery,Autumn,8,4,0,0
Kolkata,Bangalore,4286,1900,DHL,Winter,7,2,1,3
Lucknow,Chennai,3901,800,DHL,Summer,4,2,1,2
Ahmedabad,Jaipur,4752,800,BlueDart,Summer,9,3,0,0
Ahmedabad,Hyderabad,3966,800,BlueDart,Monsoon,4,1,1,3
Jaipur,Delhi,2702,800,FedEx,Monsoon,1,8,0,0
Lucknow,Jaipur,3028,800,Delhivery,Monsoon,6,6,0,0
Lucknow,Delhi,2034,800,FedEx,Summer,4,3,0,0
Bangalore,Hyderabad,4441,800,DTDC,Autumn,10,1,0,0
Ahmedabad,Chennai,1535,800,DTDC,Monsoon,3,3,0,0
Mumbai,Pune,1288,800,BlueDart,Autumn,5,1,0,0
Chennai,Jaipur,523,800,DHL,Monsoon,3,3,0,0
Chennai,Hyderabad,4347,800,DTDC,Summer,9,4,0,0
Kolkata,Hyderabad,1743,800,DTDC,Autumn,6,6,0,0
Ahmedabad,Delhi,3380,800,FedEx,Autumn,3,7,0,0
Ahmedabad,Jaipur,3931,800,FedEx,Summer,5,7,1,3
Chennai,Delhi,2510,800,DTDC,Autumn,8,9,1,4
Ahmedabad,Hyderabad,3474,800,BlueDart,Summer,8,8,1,4
Bangalore,Jaipur,2269,800,FedEx,Summer,6,4,1,3
Hyderabad,Ahmedabad,4773,800,DTDC,Winter,5,6,1,3
Delhi,Kolkata,4699,1500,DHL,Monsoon,5,1,0,0
Lucknow,Chennai,2669,800,FedEx,Winter,1,8,0,0
Jaipur,Hyderabad,265,800,DTDC,Summer,2,6,0,0
Kolkata,Chennai,1512,1660,Delhivery,Summer,4,2,0,0
Hyderabad,Jaipur,4666,800,FedEx,Autumn,6,8,1,3
Chennai,Lucknow,2120,800,Delhivery,Summer,7,4,1,3
Lucknow,Mumbai,416,800,FedEx,Summer,1,9,0,0
Ahmedabad,Chennai,2859,800,FedEx,Summer,8,4,1,3
Jaipur,Chennai,3186,800,Delhivery,Monsoon,1,1,0,0
Ahmedabad,Delhi,1870,800,BlueDart,Winter,9,7,1,4
Mumbai,Ahmedabad,4364,800,DTDC,Winter,4,10,1,3
Mumbai,Chennai,732,800,BlueDart,Monsoon,7,5,1,4
Jaipur,Ahmedabad,1292,800,BlueDart,Monsoon,6,10,1,5
Jaipur,Kolkata,623,800,DTDC,Monsoon,9,5,0,0
Chennai,Kolkata,3341,1660,DHL,Winter,2,4,0,0
Jaipur,Kolkata,3126,800,BlueDart,Winter,7,6,0,0
Bangalore,Jaipur,1988,800,BlueDart,Summer,5,1,0,0
Ahmedabad,Bangalore,822,800,BlueDart,Winter,7,3,0,0
Hyderabad,Pune,1796,800,DHL,Autumn,1,7,0,0
Pune,Hyderabad,340,800,FedEx,Winter,10,8,1,4
Jaipur,Mumbai,2222,800,Delhivery,Monsoon,9,9,0,0
Kolkata,Pune,1226,800,Delhivery,Winter,1,1,0,0
Mumbai,Pune,4492,800,DHL,Summer,5,4,1,2
Bangalore,Mumbai,3347,800,BlueDart,Winter,8,2,1,3
Lucknow,Jaipur,2385,800,Delhivery,Monsoon,1,2,1,3
Pune,Hyderabad,1250,800,DHL,Autumn,7,1,0,0
Hyderabad,Delhi,329,800,DTDC,Monsoon,2,5,0,0
Pune,Kolkata,4504,800,Delhivery,Autumn,7,2,0,0
Jaipur,Chennai,1924,800,DTDC,Summer,7,4,0,0
Chennai,Pune,4210,800,BlueDart,Summer,9,9,1,4
Mumbai,Jaipur,4801,800,Delhivery,Winter,6,3,0,0
Mumbai,Delhi,339,800,DHL,Summer,4,8,1,3
Lucknow,Kolkata,669,800,FedEx,Summer,7,10,0,0
Chennai,Bangalore,3698,350,Delhivery,Monsoon,7,6,0,0
Ahmedabad,Mumbai,3128,800,Delhivery,Monsoon,4,10,0,0
Delhi,Chennai,4926,800,Delhivery,Winter,2,5,0,0
Bangalore,Ahmedabad,1982,800,Delhivery,Winter,9,2,0,0
Mumbai,Pune,1803,800,DHL,Winter,8,3,1,3
Kolkata,Jaipur,3228,800,DHL,Winter,5,8,0,0
Mumbai,Kolkata,4567,800,FedEx,Monsoon,5,9,0,0
Pune,Bangalore,2543,800,DHL,Winter,1,7,0,0
Mumbai,Hyderabad,2467,800,DHL,Winter,9,1,1,3
Mumbai,Lucknow,3110,800,BlueDart,Summer,10,6,1,4
Delhi,Ahmedabad,4376,800,BlueDart,Winter,8,7,1,4
Delhi,Lucknow,2743,800,DTDC,Autumn,5,6,0,0
Hyderabad,Ahmedabad,4490,800,FedEx,Summer,10,10,1,4
Ahmedabad,Delhi,4165,800,BlueDart,Monsoon,6,2,0,0
Kolkata,Hyderabad,229,800,FedEx,Autumn,10,9,1,4
Mumbai,Lucknow,2828,800,FedEx,Winter,10,3,1,3
Mumbai,Jaipur,1916,800,Delhivery,Summer,8,6,0,0
Bangalore,Pune,2621,800,FedEx,Winter,6,6,0,0
Delhi,Mumbai,2603,800,Delhivery,Summer,10,8,0,0
Kolkata,Chennai,105,1660,DTDC,Winter,4,4,1,3
Lucknow,Ahmedabad,998,800,DTDC,Autumn,3,6,1,3
Hyderabad,Pune,1122,800,DTDC,Monsoon,7,1,1,4
Ahmedabad,Hyderabad,2288,800,Delhivery,Autumn,2,9,1,3
Chennai,Jaipur,255,800,Delhivery,Autumn,7,9,0,0
Ahmedabad,Hyderabad,2168,800,DTDC,Monsoon,1,7,1,3
Pune,Bangalore,4339,800,Delhivery,Summer,10,1,0,0
Mumbai,Kolkata,3359,800,DHL,Summer,5,3,0,0
Hyderabad,Bangalore,2735,800,DHL,Monsoon,9,5,1,4
Pune,Mumbai,4087,800,Delhivery,Winter,1,4,0,0
Kolkata,Hyderabad,4908,800,Delhivery,Summer,8,5,1,4
Chennai,Mumbai,2676,800,BlueDart,Autumn,9,7,1,4
Delhi,Mumbai,3209,800,BlueDart,Monsoon,9,9,0,0
Hyderabad,Delhi,2764,800,FedEx,Autumn,8,1,1,3
Hyderabad,Chennai,1427,800,FedEx,Summer,4,5,0,0
Mumbai,Ahmedabad,664,800,FedEx,Monsoon,7,3,0,0
Jaipur,Pune,2452,800,DTDC,Monsoon,1,3,0,0
Hyderabad,Bangalore,120,800,DHL,Summer,7,2,0,0
Bangalore,Mumbai,99,800,DTDC,Summer,6,6,0,0
Chennai,Bangalore,772,350,Delhivery,Monsoon,5,6,0,0
Chennai,Bangalore,3182,350,BlueDart,Winter,1,3,1,1
Bangalore,Hyderabad,2189,800,Delhivery,Monsoon,8,1,0,0
Lucknow,Chennai,2514,800,Delhivery,Winter,10,7,1,4
Bangalore,Kolkata,1474,1900,BlueDart,Autumn,1,2,0,0
Bangalore,Lucknow,107,800,Delhivery,Winter,1,8,0,0
Chennai,Pune,302,800,FedEx,Winter,3,3,1,2
Ahmedabad,Chennai,1849,800,BlueDart,Summer,8,1,1,3
Chennai,Bangalore,1744,350,Delhivery,Monsoon,8,10,1,5
Jaipur,Hyderabad,2629,800,FedEx,Autumn,7,9,0,0
Mumbai,Chennai,4757,800,FedEx,Monsoon,5,5,0,0
Pune,Hyderabad,2206,800,DHL,Winter,8,1,0,0
Ahmedabad,Lucknow,3476,800,FedEx,Winter,2,10,0,0
Delhi,Ahmedabad,1916,800,DTDC,Winter,8,6,1,4
Pune,Chennai,1731,800,BlueDart,Monsoon,2,10,0,0
Mumbai,Hyderabad,3701,800,BlueDart,Winter,10,3,0,0
Jaipur,Hyderabad,1826,800,BlueDart,Monsoon,5,4,1,4
Jaipur,Bangalore,262,800,Delhivery,Autumn,4,8,1,3
Delhi,Jaipur,4237,800,Delhivery,Autumn,1,5,0,0
Ahmedabad,Chennai,3529,800,DTDC,Monsoon,5,6,0,0
Lucknow,Pune,1917,800,FedEx,Autumn,7,10,0,0
Bangalore,Chennai,1920,350,Delhivery,Summer,1,4,0,0
Ahmedabad,Pune,2531,800,FedEx,Winter,2,6,1,2
Lucknow,Jaipur,3859,800,FedEx,Winter,9,3,0,0
Jaipur,Chennai,1068,800,Delhivery,Winter,5,10,1,4
Chennai,Jaipur,3548,800,Delhivery,Summer,7,1,0,0
Mumbai,Chennai,2332,800,DTDC,Winter,2,6,1,2
Delhi,Pune,196,800,DHL,Monsoon,7,1,0,0
Mumbai,Chennai,958,800,BlueDart,Winter,7,10,1,4
Kolkata,Pune,2300,800,Delhivery,Monsoon,7,3,1,4
Kolkata,Ahmedabad,4369,800,Delhivery,Autumn,5,8,1,3
Ahmedabad,Delhi,4627,800,FedEx,Monsoon,9,7,1,5
Jaipur,Bangalore,4888,800,DHL,Monsoon,2,8,1,3
Jaipur,Hyderabad,4640,800,Delhivery,Monsoon,4,10,0,0
Bangalore,Kolkata,219,1900,DHL,Winter,2,10,1,3
Bangalore,Ahmedabad,2103,800,BlueDart,Summer,8,2,1,3
Bangalore,Mumbai,3548,800,FedEx,Summer,1,10,1,2
Chennai,Mumbai,1573,800,DTDC,Monsoon,9,7,1,5
Pune,Bangalore,35,800,BlueDart,Winter,5,4,0,0
Hyderabad,Jaipur,184,800,DHL,Summer,3,1,0,0
Pune,Jaipur,1344,800,DHL,Autumn,4,3,0,0
Mumbai,Kolkata,331,800,BlueDart,Autumn,1,5,1,2
Pune,Hyderabad,4160,800,DHL,Winter,3,10,0,0
Chennai,Jaipur,4057,800,DTDC,Autumn,8,8,1,4
Mumbai,Pune,3237,800,DTDC,Autumn,2,2,0,0
Pune,Ahmedabad,1882,800,DHL,Autumn,2,2,0,0
Chennai,Kolkata,2077,1660,DHL,Summer,9,8,1,4
Hyderabad,Lucknow,342,800,DTDC,Autumn,5,9,1,4
Pune,Hyderabad,3001,800,DHL,Monsoon,5,10,1,4
Chennai,Bangalore,920,350,Delhivery,Monsoon,1,1,1,2
Bangalore,Hyderabad,4506,800,FedEx,Autumn,6,2,0,0
Jaipur,Kolkata,959,800,Delhivery,Monsoon,8,4,1,4
Bangalore,Hyderabad,2085,800,DHL,Summer,6,3,0,0
Jaipur,Pune,2524,800,DHL,Winter,7,1,0,0
Delhi,Lucknow,3341,800,FedEx,Monsoon,4,4,0,0
Delhi,Lucknow,3039,800,DHL,Autumn,2,2,0,0
Delhi,Ahmedabad,110,800,FedEx,Winter,1,10,1,2
Hyderabad,Ahmedabad,4656,800,DTDC,Winter,6,5,1,3
Bangalore,Lucknow,2410,800,FedEx,Autumn,9,1,0,0
Jaipur,Chennai,3381,800,FedEx,Monsoon,10,8,1,5
Chennai,Ahmedabad,2353,800,Delhivery,Summer,5,10,0,0
Mumbai,Kolkata,362,800,DHL,Monsoon,2,2,1,3
Chennai,Mumbai,2965,800,DTDC,Monsoon,1,3,1,3
Mumbai,Pune,1028,800,BlueDart,Summer,3,3,0,0
Kolkata,Ahmedabad,1189,800,FedEx,Winter,4,4,0,0
Chennai,Lucknow,3546,800,BlueDart,Summer,7,7,1,3
Pune,Ahmedabad,3660,800,DHL,Summer,9,9,0,0
Pune,Ahmedabad,2512,800,FedEx,Autumn,8,3,1,3
Ahmedabad,Delhi,3829,800,BlueDart,Autumn,9,1,0,0
Bangalore,Lucknow,989,800,Delhivery,Monsoon,7,10,1,5
Mumbai,Lucknow,4844,800,BlueDart,Autumn,10,1,0,0
Mumbai,Ahmedabad,986,800,Delhivery,Summer,8,6,0,0
Bangalore,Chennai,1381,350,DTDC,Summer,8,5,0,0
Hyderabad,Mumbai,2290,800,DHL,Autumn,1,10,0,0
Ahmedabad,Chennai,4586,800,BlueDart,Autumn,9,7,1,4
Hyderabad,Bangalore,117,800,FedEx,Autumn,2,7,0,0
Hyderabad,Mumbai,982,800,DHL,Summer,7,3,0,0
Hyderabad,Bangalore,1636,800,BlueDart,Winter,10,7,1,4
Bangalore,Kolkata,713,1900,FedEx,Winter,10,9,1,5
Hyderabad,Jaipur,884,800,FedEx,Autumn,5,8,1,3
Pune,Lucknow,3819,800,FedEx,Monsoon,4,3,0,0
Delhi,Chennai,2421,800,FedEx,Monsoon,1,10,1,4
Kolkata,Ahmedabad,2117,800,BlueDart,Winter,1,5,1,2
Mumbai,Hyderabad,3563,800,DTDC,Autumn,3,8,0,0
Mumbai,Ahmedabad,1283,800,Delhivery,Summer,1,2,0,0
Kolkata,Chennai,569,1660,Delhivery,Monsoon,8,7,1,5
Bangalore,Ahmedabad,126,800,Delhivery,Monsoon,3,10,1,4
Chennai,Pune,4979,800,DTDC,Summer,10,10,1,5
Bangalore,Lucknow,3056,800,FedEx,Summer,2,7,1,2
Mumbai,Pune,53,800,FedEx,Autumn,6,8,0,0
Mumbai,Ahmedabad,518,800,DHL,Summer,4,1,1,2
Kolkata,Mumbai,3449,800,Delhivery,Summer,4,8,0,0
Hyderabad,Delhi,3938,800,Delhivery,Summer,2,1,0,0
Bangalore,Mumbai,4954,800,FedEx,Winter,2,3,0,0
Jaipur,Lucknow,926,800,Delhivery,Summer,6,9,0,0
Kolkata,Lucknow,2955,800,FedEx,Monsoon,5,4,0,0
Pune,Ahmedabad,808,800,FedEx,Autumn,9,10,1,4
Mumbai,Bangalore,4981,800,FedEx,Autumn,4,9,0,0
Kolkata,Ahmedabad,1770,800,BlueDart,Autumn,5,1,0,0
Bangalore,Kolkata,2343,1900,BlueDart,Winter,1,8,1,3
Mumbai,Delhi,3285,800,BlueDart,Monsoon,2,3,0,0
Chennai,Mumbai,828,800,BlueDart,Summer,3,7,0,0
Kolkata,Hyderabad,2178,800,DTDC,Monsoon,5,2,1,4
Ahmedabad,Delhi,3745,800,DHL,Autumn,5,7,0,0
Mumbai,Kolkata,3075,800,DHL,Summer,4,7,0,0
Bangalore,Mumbai,3269,800,FedEx,Autumn,10,9,1,4
Delhi,Kolkata,916,1500,Delhivery,Autumn,3,2,0,0
Jaipur,Hyderabad,4118,800,BlueDart,Autumn,9,8,0,0
Lucknow,Chennai,612,800,DHL,Monsoon,1,5,0,0
Hyderabad,Mumbai,4305,800,DHL,Monsoon,6,10,1,5
Lucknow,Ahmedabad,2643,800,BlueDart,Autumn,7,9,1,4
Bangalore,Delhi,1801,800,DTDC,Autumn,10,8,1,4
Pune,Lucknow,3537,800,DTDC,Summer,4,3,1,2
Pune,Bangalore,4553,800,DHL,Autumn,10,3,0,0
Delhi,Jaipur,1821,800,DTDC,Autumn,3,10,0,0
Hyderabad,Jaipur,3921,800,BlueDart,Autumn,8,8,1,4
Ahmedabad,Bangalore,850,800,DHL,Autumn,9,9,1,4
Delhi,Kolkata,3152,1500,BlueDart,Monsoon,1,2,0,0
Lucknow,Delhi,4695,800,DTDC,Autumn,10,3,1,4
Delhi,Kolkata,2100,1500,BlueDart,Winter,9,8,1,4
Lucknow,Jaipur,4625,800,DTDC,Autumn,7,2,1,3
Mumbai,Bangalore,1046,800,DTDC,Monsoon,1,8,0,0
Pune,Bangalore,734,800,BlueDart,Winter,7,5,0,0
Mumbai,Kolkata,997,800,DTDC,Winter,5,6,0,0
Jaipur,Kolkata,812,800,FedEx,Autumn,10,10,1,4
Hyderabad,Mumbai,2592,800,BlueDart,Autumn,7,4,0,0
Ahmedabad,Pune,3847,800,FedEx,Monsoon,9,3,1,4
Lucknow,Ahmedabad,536,800,BlueDart,Winter,8,8,1,4
Ahmedabad,Lucknow,1675,800,DTDC,Winter,6,9,1,4
Lucknow,Chennai,1148,800,DTDC,Monsoon,2,8,0,0
Bangalore,Ahmedabad,469,800,DHL,Autumn,8,9,1,4
Delhi,Bangalore,2562,800,DHL,Summer,4,1,0,0
Jaipur,Chennai,4430,800,FedEx,Summer,8,5,0,0
Pune,Delhi,4684,800,DTDC,Winter,7,7,0,0
Lucknow,Kolkata,2818,800,DHL,Winter,4,8,0,0
Ahmedabad,Pune,2908,800,DTDC,Autumn,8,2,0,0
Jaipur,Mumbai,3253,800,BlueDart,Summer,2,4,0,0
Chennai,Pune,4078,800,DHL,Winter,9,7,0,0
Chennai,Ahmedabad,2341,800,FedEx,Autumn,6,5,0,0
Mumbai,Ahmedabad,4580,800,DHL,Summer,7,1,0,0
Pune,Jaipur,3695,800,DTDC,Monsoon,10,2,1,5
Bangalore,Jaipur,641,800,Delhivery,Winter,1,5,0,0
Ahmedabad,Hyderabad,4808,800,Delhivery,Monsoon,3,6,0,0
Delhi,Chennai,2466,800,DTDC,Summer,10,1,0,0
Delhi,Hyderabad,991,800,BlueDart,Autumn,5,3,1,2
Ahmedabad,Delhi,4664,800,DHL,Autumn,7,6,1,3
Hyderabad,Kolkata,4327,800,Delhivery,Summer,1,6,0,0
Bangalore,Lucknow,1566,800,BlueDart,Monsoon,9,7,1,5
Jaipur,Mumbai,2215,800,DTDC,Autumn,5,10,1,4
Lucknow,Kolkata,4453,800,BlueDart,Winter,3,3,0,0
Hyderabad,Ahmedabad,4994,800,DTDC,Monsoon,7,1,1,4
Lucknow,Ahmedabad,3965,800,DHL,Monsoon,10,7,0,0
Lucknow,Jaipur,931,800,BlueDart,Winter,8,3,0,0
Hyderabad,Ahmedabad,414,800,DHL,Summer,10,5,1,4
Mumbai,Hyderabad,4782,800,BlueDart,Autumn,10,4,1,4
Chennai,Pune,4694,800,DTDC,Monsoon,3,1,0,0
Lucknow,Mumbai,1630,800,DTDC,Autumn,7,7,0,0
Hyderabad,Kolkata,2962,800,BlueDart,Autumn,7,4,0,0
Hyderabad,Delhi,3128,800,DTDC,Monsoon,4,1,0,0
Kolkata,Chennai,1604,1660,FedEx,Summer,10,6,1,4
Mumbai,Pune,575,800,FedEx,Monsoon,9,4,0,0
Pune,Kolkata,4809,800,DHL,Summer,1,4,0,0
Kolkata,Ahmedabad,2878,800,FedEx,Winter,1,2,0,0
Kolkata,Delhi,867,1500,FedEx,Summer,5,1,1,2
Ahmedabad,Bangalore,1294,800,Delhivery,Summer,3,3,0,0
Chennai,Pune,594,800,Delhivery,Monsoon,10,10,1,6
Hyderabad,Delhi,4337,800,Delhivery,Autumn,9,5,1,4
Chennai,Ahmedabad,1255,800,Delhivery,Autumn,5,9,1,4
Bangalore,Hyderabad,61,800,DTDC,Summer,7,7,0,0
Ahmedabad,Mumbai,2173,800,DHL,Summer,1,4,0,0
Pune,Chennai,547,800,DHL,Monsoon,2,8,0,0
Chennai,Delhi,550,800,FedEx,Summer,4,4,1,2
Delhi,Kolkata,824,1500,DHL,Monsoon,9,6,1,5
Lucknow,Mumbai,1425,800,FedEx,Winter,5,1,1,2
Bangalore,Delhi,2848,800,DHL,Summer,5,6,0,0
Mumbai,Jaipur,1662,800,BlueDart,Winter,9,10,1,4
Pune,Hyderabad,2675,800,BlueDart,Summer,8,5,0,0
Bangalore,Delhi,4524,800,DHL,Summer,2,2,0,0
Lucknow,Hyderabad,4072,800,DTDC,Winter,7,1,1,3
Ahmedabad,Lucknow,2366,800,FedEx,Winter,1,6,0,0
Lucknow,Ahmedabad,3820,800,DHL,Monsoon,10,2,0,0
Kolkata,Lucknow,873,800,FedEx,Monsoon,9,9,1,5
Lucknow,Kolkata,195,800,Delhivery,Winter,3,9,1,3
Kolkata,Pune,4366,800,DHL,Summer,2,1,0,0
Ahmedabad,Pune,1561,800,DTDC,Monsoon,4,5,1,4
Jaipur,Bangalore,2217,800,Delhivery,Summer,4,8,0,0
Kolkata,Pune,771,800,DHL,Autumn,3,4,0,0
Mumbai,Delhi,4329,800,BlueDart,Monsoon,2,3,0,0
Lucknow,Jaipur,1289,800,DHL,Monsoon,5,5,1,4
Lucknow,Hyderabad,4285,800,BlueDart,Monsoon,4,5,1,3
Mumbai,Hyderabad,4737,800,BlueDart,Autumn,5,8,1,3
Delhi,Pune,3704,800,DHL,Winter,8,6,1,3
Hyderabad,Kolkata,3291,800,DHL,Summer,2,2,0,0
Jaipur,Kolkata,1546,800,BlueDart,Autumn,9,1,1,3
Pune,Ahmedabad,3174,800,FedEx,Winter,10,3,0,0
Kolkata,Pune,2780,800,Delhivery,Monsoon,1,2,0,0
